1;1;0;14;2;35420
1;1;0;15;1;0
1;1;0;16;0;0
1;1;1;62;2;0
1;1;1;65;1;0
1;1;1;66;0;0
2;1;0;12;2;0
2;1;0;13;1;34250
2;1;0;14;0;0
2;1;0;15;1;0
2;1;1;61;2;0
2;1;1;71;2;0
2;1;1;72;2;0
2;1;1;73;1;0
2;1;1;74;0;0
3;1;0;12;2;0
3;1;0;13;1;0
3;1;0;14;0;0
3;1;1;61;2;0
3;1;1;73;1;0
3;1;1;74;0;0
5;2;0;11;1;0
5;2;0;12;0;0
5;2;0;13;0;0
5;2;1;65;1;36829
5;2;1;66;0;0
5;2;1;67;0;0
6;2;0;11;1;0
6;2;0;12;0;0
6;2;0;13;0;0
6;2;1;61;1;0
6;2;1;62;0;0
6;2;1;63;0;0
7;2;0;56;0;0
7;2;0;57;0;0
7;2;0;58;1;0
7;2;1;112;1;0
7;2;1;115;0;0
7;2;1;116;1;0
8;2;0;31;1;0
8;2;0;32;0;0
8;2;0;33;0;0
8;2;1;76;0;0
8;2;1;77;0;0
8;2;1;78;1;0
